,novel_obj_list,check_obj_list,mahanalobis_distance,p_value,significance
150,novel_object_1_1_7,ice,1009.9156665280461,0.0,True
151,novel_object_1_1_7,pig,974.4405191279948,0.0,True
152,novel_object_1_1_7,stone,957.1368749067187,0.0,True
153,novel_object_1_1_7,wood,999.7922027725726,0.0,True
154,novel_object_2_1_7,bird_black,989.6015228321776,0.0,True
155,novel_object_2_1_7,bird_blue,1013.6122766006738,0.0,True
156,novel_object_2_1_7,bird_red,939.8183804163709,0.0,True
157,novel_object_2_1_7,bird_white,1265.4559260755777,0.0,True
158,novel_object_2_1_7,bird_yellow,989.8764089867473,0.0,True
159,novel_object_2_1_7,tnt,1192.2263049036264,0.0,True
160,novel_object_2_1_7,platform,962.1603723689914,0.0,True
161,novel_object_2_1_7,ice,1007.6671006376855,0.0,True
162,novel_object_2_1_7,pig,952.3632482469257,0.0,True
163,novel_object_2_1_7,stone,966.0609987080097,0.0,True
164,novel_object_2_1_7,wood,946.3269609240815,0.0,True
165,novel_object_3_1_7,bird_black,975.8551401719451,0.0,True
166,novel_object_3_1_7,bird_blue,850.4724009633064,0.0,True
167,novel_object_3_1_7,bird_red,1017.5546491146088,0.0,True
168,novel_object_3_1_7,bird_white,2101.894330263138,0.0,True
169,novel_object_3_1_7,bird_yellow,969.0533027946949,0.0,True
170,novel_object_3_1_7,tnt,1536.1881216168404,0.0,True
171,novel_object_3_1_7,platform,1157.4616937711835,0.0,True
172,novel_object_3_1_7,ice,1020.9665681608021,0.0,True
173,novel_object_3_1_7,pig,1006.2898472994566,0.0,True
174,novel_object_3_1_7,stone,1002.6740309968591,0.0,True
175,novel_object_3_1_7,wood,983.7539082495496,0.0,True
176,novel_object_4_1_7,bird_black,989.844752287725,0.0,True
177,novel_object_4_1_7,bird_blue,1006.1239791661501,0.0,True
178,novel_object_4_1_7,bird_red,971.3180837417021,0.0,True
179,novel_object_4_1_7,bird_white,849.1225425899029,0.0,True
180,novel_object_4_1_7,bird_yellow,931.2532571405172,0.0,True
181,novel_object_4_1_7,tnt,1004.502825897187,0.0,True
182,novel_object_4_1_7,platform,1048.115529038012,0.0,True
183,novel_object_4_1_7,ice,1029.698813939467,0.0,True
184,novel_object_4_1_7,pig,980.9287014889996,0.0,True
185,novel_object_4_1_7,stone,976.5380620285869,0.0,True
186,novel_object_4_1_7,wood,999.2226757346652,0.0,True
187,novel_object_5_1_7,bird_black,997.9924432877451,0.0,True
188,novel_object_5_1_7,bird_blue,1916.7985224723816,0.0,True
